Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Dialog 4G;7C:11:CB:07:F3:03;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;434;0;39;0;0;39;;;Sat May 16 12:31:47 2026;Sat May 16 12:36:25 2026;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Boss;9E:02:9F:A9:99:85;;1;No;WPA2,AES-CCM;No;130.0;0;337;0;41;0;0;41;;;Sat May 16 12:31:47 2026;Sat May 16 12:36:26 2026;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Dialog 4G 777;98:A9:42:17:FE:C1;;7;No;WPA2,AES-CCM;No;130.0;0;267;0;16;0;0;16;;;Sat May 16 12:31:47 2026;Sat May 16 12:36:26 2026;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Thavanathan’s iPhone;A6:8E:DC:82:EB:7B;;6;No;WPA2,AES-CCM;No;130.0;0;424;0;618;0;0;618;;;Sat May 16 12:31:47 2026;Sat May 16 12:36:24 2026;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Redmi A1+;BA:3D:EB:6D:12:5C;;6;No;OPN,None;No;180.0;0;399;0;184;0;0;184;;;Sat May 16 12:31:47 2026;Sat May 16 12:36:25 2026;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.229;
6;infrastructure;EZVIZ_BA8983061;BA:4D:43:17:49:3D;;3;No;WPA2,WPA,AES-CCM,TKIP;No;65.0;0;119;0;0;0;0;0;;;Sat May 16 12:31:48 2026;Sat May 16 12:36:26 2026;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Dialog 4G 379;D8:42:F7:E2:21:7B;;10;No;WPA2,AES-CCM;No;270.0;0;431;0;32;0;0;32;;;Sat May 16 12:31:49 2026;Sat May 16 12:36:27 2026;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Dialog 4G 44C;B8:27:C5:49:84:4C;;10;No;WPA2,AES-CCM,TKIP;No;270.0;0;327;0;13;0;0;13;;;Sat May 16 12:31:49 2026;Sat May 16 12:36:27 2026;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;iPhone;CA:0D:E2:E0:FA:7C;;6;No;WPA2,AES-CCM;No;130.0;0;36;0;1162;0;0;1162;;;Sat May 16 12:31:50 2026;Sat May 16 12:36:24 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;WIFIBRG001300281d01IPC094;4A:A4:FD:C8:79:C6;;11;No;WPA2,AES-CCM;No;65.0;0;37;0;0;0;0;0;;;Sat May 16 12:31:53 2026;Sat May 16 12:36:24 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;WIFIBRG001300281d01IPC053;4A:A4:FD:C2:FE:C2;;11;No;WPA2,AES-CCM;No;65.0;0;5;0;1;0;0;1;;;Sat May 16 12:31:54 2026;Sat May 16 12:35:33 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;;D8:42:F7:B2:1D:B7;;7;No;WPA,None;No;-1.0;0;0;0;5;0;0;5;;;Sat May 16 12:31:55 2026;Sat May 16 12:34:55 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;SHKH;98:A9:42:09:E6:0D;;6;No;WPA2,AES-CCM;No;130.0;0;31;0;1;0;0;1;;;Sat May 16 12:31:57 2026;Sat May 16 12:36:13 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Dialog 4G 547;98:A9:42:AB:6D:DB;;7;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Sat May 16 12:31:58 2026;Sat May 16 12:33:43 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;WIFIBRG001300281d01IPC035;C2:8A:60:90:AC:50;;11;No;WPA2,AES-CCM;No;65.0;0;9;0;0;0;0;0;;;Sat May 16 12:32:01 2026;Sat May 16 12:36:06 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;Dialog 4G 385;FC:3F:FC:51:05:69;;6;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Sat May 16 12:32:23 2026;Sat May 16 12:35:09 2026;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;SLT-4G-EAFC;0C:8F:FF:28:14:7C;;10;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;2;0;1;0;0;1;;;Sat May 16 12:32:36 2026;Sat May 16 12:34:53 2026;-93;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;AndroidAP;60:A4:D0:DE:72:12;;6;No;WPA2,AES-CCM;No;65.0;0;9;0;0;0;0;0;;;Sat May 16 12:32:37 2026;Sat May 16 12:34:58 2026;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;RizkAhamed;C2:E0:7D:6D:7A:E0;;6;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Sat May 16 12:35:05 2026;Sat May 16 12:35:16 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;DDPAI_Z40_274A;50:9B:94:EA:27:4A;;1;No;WPA2,WPA,AES-CCM,TKIP;No;135.0;0;2;0;0;0;0;0;;;Sat May 16 12:35:20 2026;Sat May 16 12:35:20 2026;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
