Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Thavanathan’s iPhone;A6:8E:DC:82:EB:7B;;6;No;WPA2,AES-CCM;No;130.0;0;2794;0;86292;0;0;86292;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:30 2026;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Redmi A1+;BA:3D:EB:6D:12:5C;;6;No;OPN,None;No;180.0;0;1988;0;10588;0;0;10588;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:30 2026;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.229;
3;infrastructure;iPhone;CA:0D:E2:E0:FA:7C;;6;No;WPA2,AES-CCM;No;130.0;0;311;0;9023;0;0;9023;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:29 2026;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Dialog 4G;7C:11:CB:07:F3:03;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;2401;0;233;0;0;233;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:30 2026;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Dialog 4G 777;98:A9:42:17:FE:C1;;7;No;WPA2,AES-CCM;No;130.0;0;626;0;2;0;0;2;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:29 2026;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;RizkAhamed;C2:E0:7D:6D:7A:E0;;6;No;WPA2,AES-CCM;No;130.0;0;17;0;0;0;0;0;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:29 2026;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;00:25:00:FF:94:73;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:25 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;AndroidAP;60:A4:D0:DE:72:12;;6;No;WPA2,AES-CCM;No;65.0;0;477;0;4;0;0;4;;;Sat May 16 12:38:03 2026;Sat May 16 12:43:29 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;SHKH;98:A9:42:09:E6:0D;;6;No;WPA2,AES-CCM;No;130.0;0;574;0;5;0;0;5;;;Sat May 16 12:38:04 2026;Sat May 16 12:43:28 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Galaxy A24 2263;B2:1C:A6:33:5B:AD;;6;No;WPA2,AES-CCM;No;180.0;0;7;0;0;0;0;0;;;Sat May 16 12:38:05 2026;Sat May 16 12:38:09 2026;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;B8:27:C5:49:84:4C;;6;No;WPA,None;No;-1.0;0;0;0;9;0;0;9;;;Sat May 16 12:38:14 2026;Sat May 16 12:43:27 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Dialog 4G 385;FC:3F:FC:51:05:69;;6;No;WPA2,AES-CCM;No;130.0;0;40;0;0;0;0;0;;;Sat May 16 12:38:19 2026;Sat May 16 12:43:08 2026;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Dialog 4G 192;FC:3F:FC:91:80:C0;;6;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Sat May 16 12:39:01 2026;Sat May 16 12:42:51 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;5C:A0:01:AA:DC:FC;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:39:07 2026;Sat May 16 12:41:12 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;ND330FC-91ec;1C:79:2D:C1:91:EC;;6;No;WPA2,AES-CCM;No;65.0;0;2;0;0;0;0;0;;;Sat May 16 12:39:23 2026;Sat May 16 12:39:25 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;;D8:42:F7:0E:E1:9C;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:39:25 2026;Sat May 16 12:40:42 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Dialog 4G 675;98:A9:42:BE:E6:8B;;6;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sat May 16 12:39:29 2026;Sat May 16 12:39:30 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;24:EB:16:56:E1:CC;;6;No;OPN,None;No;-1.0;0;0;0;26;0;0;26;;;Sat May 16 12:39:30 2026;Sat May 16 12:41:57 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Dialog 4G 574;98:A9:42:17:BA:0E;;6;No;WPA2,AES-CCM;No;130.0;0;2;0;1;0;0;1;;;Sat May 16 12:41:01 2026;Sat May 16 12:42:46 2026;-93;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Smartphone_connect_2cedae;FC:98:16:2C:ED:AE;;6;No;WPA2,AES-CCM;No;65.0;0;3;0;0;0;0;0;;;Sat May 16 12:41:36 2026;Sat May 16 12:41:36 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
