Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Thavanathan’s iPhone;A6:8E:DC:82:EB:7B;;6;No;WPA2,AES-CCM;No;130.0;0;180;0;1257;0;0;1257;;;Sat May 16 12:43:36 2026;Sat May 16 12:45:23 2026;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Redmi A1+;BA:3D:EB:6D:12:5C;;6;No;OPN,None;No;180.0;0;97;0;141;0;0;141;;;Sat May 16 12:43:36 2026;Sat May 16 12:45:23 2026;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.229;
3;infrastructure;Dialog 4G;7C:11:CB:07:F3:03;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;162;0;31;0;0;31;;;Sat May 16 12:43:36 2026;Sat May 16 12:45:23 2026;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Boss;9E:02:9F:A9:99:85;;1;No;WPA2,AES-CCM;No;130.0;0;106;0;22;0;0;22;;;Sat May 16 12:43:36 2026;Sat May 16 12:45:22 2026;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Dialog 4G 777;98:A9:42:17:FE:C1;;7;No;WPA2,AES-CCM;No;130.0;0;85;0;4;0;0;4;;;Sat May 16 12:43:36 2026;Sat May 16 12:45:21 2026;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;EZVIZ_BA8983061;BA:4D:43:17:49:3D;;3;No;WPA2,WPA,AES-CCM,TKIP;No;65.0;0;40;0;0;0;0;0;;;Sat May 16 12:43:37 2026;Sat May 16 12:45:18 2026;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Dialog 4G 379;D8:42:F7:E2:21:7B;;10;No;WPA2,AES-CCM;No;270.0;0;138;0;10;0;0;10;;;Sat May 16 12:43:38 2026;Sat May 16 12:45:24 2026;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Dialog 4G 44C;B8:27:C5:49:84:4C;;10;No;WPA2,AES-CCM,TKIP;No;270.0;0;141;0;3;0;0;3;;;Sat May 16 12:43:38 2026;Sat May 16 12:45:23 2026;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;WIFIBRG001300281d01IPC053;4A:A4:FD:C2:FE:C2;;11;No;WPA2,AES-CCM;No;65.0;0;15;0;1;0;0;1;;;Sat May 16 12:43:39 2026;Sat May 16 12:45:06 2026;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;WIFIBRG001300281d01IPC094;4A:A4:FD:C8:79:C6;;11;No;WPA2,AES-CCM;No;65.0;0;12;0;0;0;0;0;;;Sat May 16 12:43:39 2026;Sat May 16 12:45:13 2026;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
