Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Dialog 4G;7C:11:CB:07:F3:03;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;610;0;63;0;0;63;;;Sat May 16 12:36:40 2026;Sat May 16 12:38:01 2026;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Thavanathan’s iPhone;A6:8E:DC:82:EB:7B;;6;No;WPA2,AES-CCM;No;130.0;0;665;0;8588;0;0;8588;;;Sat May 16 12:36:40 2026;Sat May 16 12:38:01 2026;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Redmi A1+;BA:3D:EB:6D:12:5C;;6;No;OPN,None;No;180.0;0;490;0;2492;0;0;2492;;;Sat May 16 12:36:40 2026;Sat May 16 12:38:01 2026;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.229;
4;infrastructure;Dialog 4G 777;98:A9:42:17:FE:C1;;7;No;WPA2,AES-CCM;No;130.0;0;243;0;2;0;0;2;;;Sat May 16 12:36:40 2026;Sat May 16 12:38:01 2026;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;SHKH;98:A9:42:09:E6:0D;;6;No;WPA2,AES-CCM;No;130.0;0;165;0;0;0;0;0;;;Sat May 16 12:36:41 2026;Sat May 16 12:38:00 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;iPhone;CA:0D:E2:E0:FA:7C;;6;No;WPA2,AES-CCM;No;130.0;0;77;0;3452;0;0;3452;;;Sat May 16 12:36:41 2026;Sat May 16 12:38:01 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;AndroidAP;60:A4:D0:DE:72:12;;6;No;WPA2,AES-CCM;No;65.0;0;60;0;0;0;0;0;;;Sat May 16 12:36:41 2026;Sat May 16 12:37:58 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;00:25:00:FF:94:73;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:36:43 2026;Sat May 16 12:37:47 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;RizkAhamed;C2:E0:7D:6D:7A:E0;;6;No;WPA2,AES-CCM;No;130.0;0;0;0;0;0;0;0;;;Sat May 16 12:36:47 2026;Sat May 16 12:37:34 2026;-93;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;5C:A0:01:AA:DC:FC;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:37:27 2026;Sat May 16 12:37:39 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
